,Unnamed: 0,Country.Name,Country.Code,Indicator.Name,Indicator.Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
85,32340,Albania,ALB,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,54.4408,56.1654,57.89,55.368,52.846,50.324,47.802,45.28,42.1176,38.9552,35.7928,32.6304,29.468000000000004,28.6554,27.8428,27.0302,26.2176,25.405,23.6676,21.9302,20.1928,18.4554,16.718,16.6428,16.5676,16.4924,16.4172,16.342,16.8202,17.2984,17.7766,18.2548,18.733,18.8524,18.9718,19.0912,19.2106,19.33,19.311,19.292,19.273,19.254,19.235,19.108,18.981,18.854,18.727,18.6,19.0396,19.4792,19.9188,20.3584,20.798,21.1438,21.4896,,
86,32343,Albania,ALB,Age dependency ratio (% of working-age population),SP.POP.DPND,83.7063300389954,84.9524191571394,86.2382425695434,87.4307218538258,88.2829138281046,88.64283329792721,88.84099682991828,88.4537503811071,87.6404098213109,86.6275426361384,85.5400698377779,84.2366842579049,83.00363784105271,81.7221716284998,80.23529050862021,78.5125635601084,77.0323400137102,75.28123971414391,73.4330300935265,71.7110424280905,70.2131169993534,68.89325190775381,67.7599898775668,66.7653747054884,65.8428471422029,64.9816780512235,64.2655173032203,63.64550607115561,63.092730747312295,62.5171368485921,61.808310927940205,62.5199929356221,63.1100037423928,63.53536372107921,63.866082426141006,64.2038202124492,63.152991416017294,62.2405118672839,61.4196954390151,60.5708238145241,59.585865641138,58.6690081984723,57.6018765461179,56.3648803323173,55.001549022067785,53.5468637350468,52.152008273278504,50.862987222435294,49.663787456392896,48.6370670641803,47.8850758990693,46.72028802793,45.83573858002279,45.247476793722896,44.912168418690996,44.8069727869847,
87,32344,Albania,ALB,"Age population, age 0, female, interpolated",SP.POP.AG00.FE.IN,28986.0,29652.0,30328.0,30917.0,31302.0,31414.0,31173.0,30678.0,30110.0,29711.0,29657.0,30087.0,30857.0,31784.0,32610.0,33146.0,33255.0,33102.0,32824.0,32630.0,32674.0,32978.0,33451.0,34106.0,34938.0,35910.0,37092.0,38402.0,39494.0,39920.0,39401.0,38445.0,36578.0,34188.0,31808.0,29813.0,28250.0,27084.0,26190.0,25367.0,24468.0,23326.0,22185.0,21036.0,19884.0,18755.0,17711.0,16665.0,15823.0,15445.0,15687.0,16427.0,17776.0,19372.0,20714.0,21438.0,
88,32345,Albania,ALB,"Age population, age 0, male, interpolated",SP.POP.AG00.MA.IN,30726.0,31430.0,32105.0,32670.0,33025.0,33117.0,32872.0,32386.0,31835.0,31460.0,31431.0,31905.0,32716.0,33692.0,34577.0,35183.0,35377.0,35318.0,35130.0,34998.0,35064.0,35345.0,35748.0,36317.0,37101.0,38092.0,39417.0,40953.0,42245.0,42696.0,41943.0,41066.0,39028.0,36406.0,33953.0,32162.0,30243.0,29005.0,28174.0,27378.0,26374.0,25287.0,24086.0,22809.0,21514.0,20256.0,19027.0,17799.0,16794.0,16297.0,16483.0,17367.0,18918.0,20739.0,22287.0,23178.0,
89,32346,Albania,ALB,"Age population, age 01, female, interpolated",SP.POP.AG01.FE.IN,27830.0,28745.0,29409.0,30093.0,30605.0,30896.0,31222.0,30735.0,30463.0,30254.0,30212.0,29783.0,30835.0,31315.0,31770.0,32113.0,32842.0,32312.0,32341.0,32413.0,32593.0,32684.0,33215.0,33655.0,34261.0,35043.0,35906.0,37229.0,38254.0,38749.0,38471.0,38642.0,36671.0,34941.0,33133.0,31516.0,29823.0,28885.0,27811.0,26776.0,25709.0,24295.0,23225.0,22006.0,20755.0,19469.0,18320.0,16954.0,15849.0,15157.0,15027.0,15406.0,16169.0,17311.0,18401.0,19177.0,
90,32347,Albania,ALB,"Age population, age 01, male, interpolated",SP.POP.AG01.MA.IN,29289.0,30401.0,30982.0,31702.0,32242.0,32559.0,32906.0,32440.0,32187.0,31993.0,31966.0,31548.0,32648.0,33158.0,33655.0,34057.0,34869.0,34417.0,34531.0,34672.0,34888.0,35047.0,35488.0,35887.0,36475.0,37287.0,38195.0,39800.0,40979.0,41454.0,40903.0,41058.0,38920.0,36910.0,35004.0,33611.0,31821.0,30652.0,29731.0,28808.0,27681.0,26318.0,25195.0,23813.0,22396.0,20994.0,19815.0,18238.0,17051.0,16290.0,16102.0,16301.0,17391.0,18617.0,19794.0,20669.0,
91,32348,Albania,ALB,"Age population, age 02, female, interpolated",SP.POP.AG02.FE.IN,26652.0,27634.0,28522.0,29190.0,29817.0,30272.0,30742.0,31048.0,30600.0,30565.0,30563.0,30201.0,29873.0,30949.0,31130.0,31328.0,31961.0,32572.0,31930.0,32187.0,32455.0,32549.0,32670.0,33241.0,33675.0,34303.0,35083.0,35922.0,37167.0,37699.0,37604.0,37912.0,37730.0,35433.0,34104.0,32828.0,31366.0,29855.0,29220.0,28075.0,26920.0,25540.0,24180.0,23076.0,21755.0,20358.0,19114.0,17837.0,16232.0,15287.0,14843.0,14847.0,15188.0,15846.0,16663.0,17406.0,
92,32349,Albania,ALB,"Age population, age 02, male, interpolated",SP.POP.AG02.MA.IN,27892.0,29048.0,30101.0,30666.0,31363.0,31875.0,32384.0,32714.0,32299.0,32279.0,32288.0,31942.0,31621.0,32738.0,32950.0,33195.0,33902.0,34592.0,34020.0,34348.0,34665.0,34827.0,34991.0,35473.0,35916.0,36585.0,37416.0,38349.0,39870.0,40348.0,39951.0,40230.0,39800.0,37212.0,35766.0,34725.0,33141.0,31798.0,31089.0,30116.0,28942.0,27638.0,26192.0,24933.0,23440.0,21935.0,20631.0,19363.0,17620.0,16634.0,16124.0,15968.0,16140.0,17110.0,17929.0,18721.0,
93,32350,Albania,ALB,"Age population, age 03, female, interpolated",SP.POP.AG03.FE.IN,25466.0,26496.0,27456.0,28306.0,28954.0,29552.0,30149.0,30604.0,30882.0,30662.0,30723.0,30472.0,30154.0,29946.0,30664.0,30760.0,31276.0,31842.0,32320.0,31953.0,32273.0,32381.0,32480.0,32656.0,33171.0,33681.0,34374.0,35143.0,35882.0,36764.0,36797.0,37189.0,37204.0,36733.0,34759.0,33780.0,32572.0,31239.0,29917.0,29255.0,28085.0,26763.0,25431.0,24085.0,22860.0,21393.0,20083.0,18709.0,17349.0,15779.0,15076.0,14729.0,14729.0,15013.0,15450.0,16092.0,
94,32351,Albania,ALB,"Age population, age 03, male, interpolated",SP.POP.AG03.MA.IN,26540.0,27716.0,28830.0,29811.0,30403.0,31082.0,31732.0,32226.0,32530.0,32338.0,32412.0,32183.0,31876.0,31678.0,32426.0,32561.0,33144.0,33783.0,34334.0,34026.0,34402.0,34581.0,34730.0,34938.0,35414.0,35976.0,36734.0,37597.0,38400.0,39367.0,39083.0,39433.0,39194.0,38411.0,36267.0,35530.0,34168.0,33005.0,31969.0,31296.0,30138.0,28923.0,27523.0,26011.0,24607.0,23040.0,21639.0,20257.0,18920.0,17284.0,16500.0,16024.0,15854.0,16001.0,16637.0,17290.0,
